Source,Target,Weight,Distance,Type
11,81,0.44999999999999996,11,Undirected
12,17,0.7,6,Undirected
12,18,0.7,6,Undirected
12,87,0.7,6,Undirected
12,40,0.65,7,Undirected
12,68,0.65,7,Undirected
12,73,0.65,7,Undirected
12,19,0.6,8,Undirected
12,34,0.6,8,Undirected
12,63,0.6,8,Undirected
12,64,0.6,8,Undirected
12,72,0.6,8,Undirected
12,23,0.55,9,Undirected
12,26,0.55,9,Undirected
12,29,0.55,9,Undirected
12,15,0.35,13,Undirected
12,28,0.44999999999999996,11,Undirected
12,33,0.55,9,Undirected
12,35,0.5,10,Undirected
12,41,0.4,12,Undirected
12,44,0.5,10,Undirected
12,54,0.4,12,Undirected
12,65,0.55,9,Undirected
12,67,0.5,10,Undirected
12,80,0.44999999999999996,11,Undirected
12,81,0.5,10,Undirected
13,26,0.5,10,Undirected
13,38,0.5,10,Undirected
13,17,0.44999999999999996,11,Undirected
13,18,0.44999999999999996,11,Undirected
13,34,0.44999999999999996,11,Undirected
13,27,0.4,12,Undirected
13,39,0.4,12,Undirected
13,50,0.4,12,Undirected
13,68,0.4,12,Undirected
13,73,0.4,12,Undirected
13,53,0.050000000000000044,19,Undirected
14,23,0.65,7,Undirected
14,56,0.65,7,Undirected
14,74,0.65,7,Undirected
14,51,0.6,8,Undirected
14,65,0.55,9,Undirected
14,69,0.55,9,Undirected
14,75,0.55,9,Undirected
14,82,0.55,9,Undirected
14,19,0.5,10,Undirected
14,43,0.5,10,Undirected
14,64,0.5,10,Undirected
14,77,0.5,10,Undirected
14,24,0.44999999999999996,11,Undirected
14,78,0.25,15,Undirected
14,80,0.44999999999999996,11,Undirected
14,85,0.44999999999999996,11,Undirected
15,72,0.55,9,Undirected
15,60,0.44999999999999996,11,Undirected
15,62,0.44999999999999996,11,Undirected
15,27,0.4,12,Undirected
15,32,0.4,12,Undirected
15,36,0.4,12,Undirected
15,79,0.4,12,Undirected
15,17,0.35,13,Undirected
15,18,0.35,13,Undirected
16,33,0.5,10,Undirected
16,17,0.44999999999999996,11,Undirected
16,55,0.44999999999999996,11,Undirected
16,20,0.4,12,Undirected
16,32,0.4,12,Undirected
16,75,0.4,12,Undirected
16,89,0.4,12,Undirected
16,31,0.35,13,Undirected
16,35,0.35,13,Undirected
16,42,0.35,13,Undirected
16,60,0.35,13,Undirected
16,70,0.35,13,Undirected
16,72,0.35,13,Undirected
16,83,0.35,13,Undirected
17,87,0.9,2,Undirected
17,18,0.7,6,Undirected
17,21,0.7,6,Undirected
17,34,0.7,6,Undirected
17,48,0.7,6,Undirected
17,26,0.65,7,Undirected
17,32,0.65,7,Undirected
17,50,0.65,7,Undirected
17,19,0.6,8,Undirected
17,35,0.6,8,Undirected
17,25,0.5,10,Undirected
17,27,0.55,9,Undirected
17,29,0.44999999999999996,11,Undirected
17,30,0.55,9,Undirected
17,37,0.5,10,Undirected
17,39,0.55,9,Undirected
17,40,0.55,9,Undirected
17,41,0.4,12,Undirected
17,42,0.6,8,Undirected
17,44,0.5,10,Undirected
17,47,0.6,8,Undirected
17,57,0.30000000000000004,14,Undirected
17,67,0.5,10,Undirected
17,72,0.6,8,Undirected
17,73,0.55,9,Undirected
17,78,0.25,15,Undirected
17,79,0.44999999999999996,11,Undirected
17,80,0.44999999999999996,11,Undirected
17,81,0.5,10,Undirected
17,83,0.6,8,Undirected
18,34,0.9,2,Undirected
18,21,0.8,4,Undirected
18,64,0.8,4,Undirected
18,87,0.8,4,Undirected
18,26,0.75,5,Undirected
18,68,0.75,5,Undirected
18,19,0.7,6,Undirected
18,44,0.7,6,Undirected
18,48,0.7,6,Undirected
18,23,0.65,7,Undirected
18,22,0.6,8,Undirected
18,24,0.65,7,Undirected
18,25,0.5,10,Undirected
18,27,0.55,9,Undirected
18,28,0.44999999999999996,11,Undirected
18,29,0.44999999999999996,11,Undirected
18,30,0.44999999999999996,11,Undirected
18,32,0.65,7,Undirected
18,37,0.4,12,Undirected
18,38,0.65,7,Undirected
18,39,0.55,9,Undirected
18,40,0.55,9,Undirected
18,42,0.6,8,Undirected
